ISIN,CO_NAME,IBR_NAME,ISS_OPEN,ISS_CLOSE,ALLOTMENT_DATE,REFUND_DT,DEMAT_DT,TRADING_DT,HIGH,LOW,OFF_PRICE,FACE_VALUE,ISS_AMT,ISS_QTY,LISTED_PR,LISTED_GAIN,LISTED_DT,MKT_LOT,SUBS_TIMES,EXCH,ISS_TYPE,OFFER_TYPE,OFFER_OBJECTIVE,STATE,SIGNED_BY,INDUSTRY,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11,LM12,LM13,LM14,LM15,MKTMKR1,MKTMKR2,MKTMKR3,MKTMKR4,MKTMKR5
INE0B1K01014,DJ MEDIAPRINT & LOGISTICS LTD,DJ Mediaprint,26-03-2020,31-03-2020,07-04-2020,08-04-2020,09-04-2020,13-04-2020,,,20,10,2.4,12,20.6,3,13-04-2020,,1.7,,,FRESH,,MAHARASHTRA,DINESH KOTIAN,Printer-Job Work,Finshore,,,,,,,,,,,,,,,Nikunj,,,,
INE0NJ001013,CFF FLUID CONTROL LTD,CFF Fluid Cont,30-05-2023,02-06-2023,07-06-2023,08-06-2023,09-06-2023,12-06-2023,165,,165,10,85.8,52,175,6.1,12-06-2023,800,,BSE SME,FIXED PRICE,FRESH,,,SUNIL MENON,Defence Ancillaries,Aryaman,,,,,,,,,,,,,,,Aryaman,,,,
INE777K01022,R R KABEL LTD,R R Kabel,13-09-2023,15-09-2023,21-09-2023,22-09-2023,25-09-2023,26-09-2023,1035,983,1035,5,1965.14,189.87,1179,13.9,20-09-2023,14,13.4,BSE & NSE,BOOK BUILDING,BOTH,,Maharashtra,MAHENDRAKUMAR RAMESHWARLAL KABRA,Elect Wire/Cable,JM,HSBC,Citigroup,Axis,,,,,,,,,,,,,,,,
INE142M01025,TATA TECHNOLOGIES LTD,Tata Techno,22-11-2023,24-11-2023,28-11-2023,29-11-2023,29-11-2023,30-11-2023,500,475,500,2,3042.51,608.5,1199.95,140,30-11-2023,30,51.8,BSE & NSE,BOOK BUILDING,BOTH,,Maharashtra,WARREN HARRIS,Soft-Manufacturing,JM,Citigroup,BOA,,,,,,,,,,,,,,,,,
INE980O01024,JYOTI CNC AUTOMATION LTD,Jyoti CNC Auto,09-01-2024,11-01-2024,12-01-2024,15-01-2024,15-01-2024,16-01-2024,331,315,331,2,1000.24,302.19,372,12.4,16-01-2024,45,22.8,BSE & NSE,FIXED PRICE,FRESH,,Gujarat,PARAKRAMSINH G. JADEJA,Machine Tools,SBI,ICICI,Equirus,,,,,,,,,,,,,,,,,
INE093A01041,HEXAWARE TECHNOLOGIES LTD,Hexaware Tech,12-02-2025,14-02-2025,17-02-2025,18-02-2025,18-02-2025,19-02-2025,708,674,708,1,8759.41,1237.2,791.25,11.8,19-02-2025,21,2.3,BSE & NSE,BOOK BUILDING,BOTH,,,R. SRIKRISHNA,Software-Divers ,Kotak,JP Morgan,IIFL,HSBC,Citigroup,,,,,,,,,,,,,,,
INE0TD301017,SHANMUGA HOSPITAL LTD,Shanmuga Hospit,13-02-2025,17-02-2025,18-02-2025,20-02-2025,20-02-2025,21-02-2025,54,,54,10,20.62,38.18,54,0,21-02-2025,2000,,BSE SME,FIXED PRICE,FRESH,,TAMIL NADU,PALANIAPPAN SHANMUGAM PANNEERSELVAM,Multi-Spl Hospital,Finshore,,,,,,,,,,,,,,,Black Fox,,,,
INE0SII01026,QUALITY POWER ELECTRICAL EQUIPMENTS LTD,Quality Power,14-02-2025,18-02-2025,20-02-2025,21-02-2025,21-02-2025,24-02-2025,425,401,425,10,858.7,202.05,432.05,1.7,24-02-2025,26,1.2,BSE & NSE,BOOK BUILDING,BOTH,,MAHARASHTRA,BHARANIDHARAN PANDYAN,Power Equipment,Pantomath,,,,,,,,,,,,,,,,,,,
INE0TIR01017,SWASTH FOODTECH INDIA LTD,Swasth Foodtech,20-02-2025,24-02-2025,25-02-2025,27-02-2025,27-02-2025,28-02-2025,94,,94,10,14.92,15.88,94,0,28-02-2025,1200,7.2,BSE SME,FIXED PRICE,FRESH,,WEST BENGAL,DILIP CHHAJER,Edible Oil,Horizon,,,,,,,,,,,,,,,Giriraj,,,,
INE13VU01016,BEEZAASAN EXPLOTECH LTD,Beezaasan Explo,21-02-2025,25-02-2025,27-02-2025,28-02-2025,28-02-2025,03-03-2025,175,165,175,10,59.93,34.25,146,-16.6,03-03-2025,800,5.1,BSE SME,BOOK BUILDING,FRESH,,GUJARAT,NAVNEETKUMAR SOMANI,Explosives,Smart Horizon Capital,,,,,,,,,,,,,,,Rikhav,,,,
