SBI,INE062A01020,1018.75,998.05,974.89,954.38,830.61,22.7
Titan,INE280A01028,4104.05,4064.43,3941.04,3836.52,3510.3,16.9
IDBI Bank,INE008A01015,108.2,108.13,100.83,99.25,89.7,20.6
ESAB ,INE284A01012,6169.85,6139.95,6110.5,5541.45,5123.95,20.4
P H Cap,INE160F01013,454.2,441.7,291.05,223.88,216.01,110.3
Hero Motocorp,INE158A01026,6000,5908.33,5850.34,5779.72,4685.55,28.1
Hind Zinc,INE267A01025,642.95,624.8,586.54,520.29,462.22,39.1
Ramco Cement,INE331A01037,1079.1,1064.16,1048.53,1030.3,999.81,7.9
Max Financial,INE180A01020,1739.5,1693.03,1685.83,1647.34,1434.32,21.3
Mirc Elect,INE831A01028,35.02,30.39,26.41,26.31,20.28,72.7
Vedanta,INE205A01025,621.6,612.05,576.45,531.04,461.81,34.6
Grasim Ind,INE047A01021,2861.8,2849.62,2815.17,2803.26,2689.15,6.4
Torrent Pharma,INE685A01028,3936.6,3875.02,3810.36,3718.97,3424.2,15
Transchem,INE019B01010,190.4,188.99,168.09,107.83,59.67,219.1
Hindalco Ind,INE038A01020,942.5,916.23,865.21,824.93,704.72,33.7
Ashok Leyland,INE208A01029,186.15,185.34,173,154.75,126.73,46.9
Bharat Forge,INE465A01025,1475.45,1474.68,1435.45,1377.35,1228.28,20.1
Escorts Kubota,INE042A01014,3940,3855.86,3720.89,3696.01,3439.86,14.5
L&T,INE018A01030,4133.35,4132.93,4064.51,3992.43,3614.51,14.4
M&M,INE101A01026,3784.7,3770.4,3663.13,3646.37,3214.39,17.7
Voltas,INE226A01021,1486.15,1427.96,1382.62,1381.05,1354.54,9.7
Britannia,INE216A01030,6126.35,6046.4,6005.08,5941.75,5551.14,10.4
TCI Finance,INE911B01018,32.92,29.94,19.58,14.42,13.76,139.2
Shree Digvijay,INE232A01011,91.39,91.03,90.28,90.17,82.29,11.1
Indian Hume ,INE323C01030,421,415.54,409.75,385.26,383.18,9.9
Sandur Mang,INE149K01016,258,253.99,225.4,217.14,168.69,52.9
SML Mahindra,INE294B01019,4227.75,4100.94,3814.78,3312.76,2546.95,66
Bliss GVS ,INE416D01022,181.3,165.96,160.79,158.75,147.13,23.2
Tanfac Ind,INE639B01015,4562.2,4417.1,4185.97,4043.64,3775.7,20.8
Saptak Chem,INE467X01015,33.59,32.31,27.8,19.95,8.93,276.2
Rajas Petro Syn,INE374C01017,14.09,13.12,10.94,9.98,9,56.6
IFB Agro Ind,INE076C01018,1484.85,1476.42,1338.98,1307.45,808.31,83.7
Pioneer Invest,INE746D01014,118.75,117.4,108.47,87.84,72.41,64
Graphite India,INE371A01025,671.95,655.63,577.65,571.26,523.93,28.3
Can Fin Home,INE477A01020,949.9,935.51,922.44,885.27,763.57,24.4
Team India Guar,INE289C01025,296.95,294.21,289.24,271.19,214.54,38.4
Bhagyanagar Ind,INE458B01036,178.35,166.71,145.45,134.84,96.1,85.6
Onix Solar,INE173M01012,628.95,571.86,403.38,338.95,336.86,86.7
Krishanveer For,INE013J01016,145.9,145.49,143.19,140.08,112.62,29.6
Vallabh Steels,INE457E01016,11.49,11.44,10.45,10.42,8.97,28.1
Gujarat Natural,INE207H01018,106.69,94.44,89.86,89.34,58.29,83
Hind Copper,INE531E01026,565.2,540.24,436.33,372.45,276.11,104.7
Ramgopal Polyte,INE410D01017,19.67,19.53,16.8,10.35,6.75,191.4
Magnus Steel,INE898E01011,38.55,37.08,31.89,22.85,18.43,109.2
KEI Ind,INE878B01027,4531,4509.27,4280.13,4178.54,3764.67,20.4
Ritesh Interl,INE534D01014,73.9,69.42,64.48,63.2,42,76
Ncc Blue Water,INE630N01019,29.1,28.07,24.45,24.06,20.44,42.4
Jamna Auto Ind,INE039C01032,135.65,130.95,126.49,111.08,94.88,43
