Vaxtex Cotfab,INE098201036,2.46,2.05,5,20,4
Rudrabhisek Ent,INE364Z01019,121.32,116.88,5,3.8,.8
Felix Ind,INE901X01013,192.85,156.25,5,23.4,4.7
Sanco Ind,INE782L01012,2.79,2.1,7,32.9,4.7
SBI,INE062A01020,1018.75,973.3,6,4.7,.8
Hero Motocorp,INE158A01026,5999.8,5711.85,6,5,.8
Samtel India,INE538C01017,4.33,3.11,8,39.2,4.9
Shree Cement,INE070A01015,27676.1,26311,6,5.2,.9
Hindalco Ind,INE038A01020,942.5,884.2,6,6.6,1.1
Tata Steel,INE081A01020,186.2,172.25,7,8.1,1.2
Voltas,INE226A01021,1486.15,1360.6,5,9.2,1.8
Hind Uni,INE030A01027,2425.35,2315.3,5,4.8,1
TCI Finance,INE911B01018,32.92,11.1,15,196.6,13.1
Indianivesh,INE131H01028,8.61,7.95,5,8.3,1.7
NCL Ind,INE732C01016,211.6,200.4,5,5.6,1.1
Phoenix Mills,INE211B01039,1950.75,1851.1,7,5.4,.8
Indokem,INE716F01012,761.35,626.45,5,21.5,4.3
Panasonic Energ,INE795A01017,314.25,298.6,6,5.2,.9
Krishna Vent,INE537L01010,22,19.66,5,11.9,2.4
Zee Ent,INE256A01028,91.43,89.95,5,1.6,.3
La Tim Metal,INE501N01020,9.25,8.91,5,3.8,.8
Deccan Bearing,INE498D01012,284.05,112.7,20,152,7.6
MSR ,INE331L01026,3.96,2.86,20,38.5,1.9
Supreme Ind,INE195A01028,3636.7,3275.95,6,11,1.8
JMD Ventures,INE047E01031,6.22,4.6,17,35.2,2.1
Quadrant Tele,INE527B01020,.47,.35,10,34.3,3.4
Can Fin Home,INE477A01020,949.9,924.85,6,2.7,.5
Omega Interact,INE113B01029,499.05,354.8,8,40.7,5.1
Banganga Paper,INE767M01029,54.26,53.06,6,2.3,.4
Veritas (India),INE379J01029,177.4,170.6,5,4,.8
Shantai Ind,INE408F01024,19.96,13.54,9,47.4,5.3
Pulsar Int,INE183U01022,2.03,1.28,10,58.6,5.9
Onix Solar,INE173M01012,628.95,237.4,21,164.9,7.9
Gujarat Natural,INE207H01018,106.69,86.51,6,23.3,3.9
Jyoti Resins,INE577D01013,1159.3,1113.6,5,4.1,.8
Soma Papers,INE737E01011,210.15,83.26,20,152.4,7.6
National Ply,INE497C01016,2.91,2.71,5,7.4,1.5
Magnus Steel,INE898E01011,38.55,11.7,59,229.5,3.9
Sri Chakra Cem,INE827D01020,69.25,53.85,9,28.6,3.2
Phaarmasia,INE486I01016,121.85,108.37,7,12.4,1.8
Sovereign Diam,INE959D01013,35.97,20.65,5,74.2,14.8
Menon Bearings,INE071D01033,114.1,106.15,6,7.5,1.2
Gujarat Inje(K),INE659F01014,38.21,34.55,8,10.6,1.3
Raaj Medisafe,INE548H01015,84.96,68.01,6,24.9,4.2
