1,0,1,RIL,2040220,-94386,-4.4,1019906,1,-44791,-2.1,-44926,-2.2,179434,9.6,-26658,-1.3,391751,23.8,1507.7,1577.45,-69.75,-4.4,1575.55,1575.55,1497.05,1507.7,28373,43018,620255,INE002A01018,I32200T32290,32210,Refineries,1,322.1,RELIANCE-MUKESH,1,RELIANCE INDUSTRIES LTD,500325,RELIANCE,1,9.8,12.6,60.99,112.34,24.7,13.4,55,0.4,0.4
2,,2,Bharti Airtel,1222160,1508,0.1,607780,4,4205,0.3,406.01,0,118643,10.8,51448,4.4,287912,30.8,2107.1,2104.5,2.6,0.1,2113.25,2121,2088,2105.95,9140,19223,276622,INE397D01024,I53600T53890,53820,GSM-Mobile,1,595,BHARTI-MITTAL,1,BHARTI AIRTEL LTD,532454,BHARTIARTL,1,23.3,23.5,45.62,128.55,46.2,16.4,320,0.8,1.26
3,,3,TCS,1178582,14860,1.3,332714,10,2987,0.3,6100,0.5,96907,9,-59802,-4.8,-303700,-20.5,3255.75,3214.7,41.05,1.3,3211.1,3259,3206.4,3255.75,2937,9523,165761,INE467B01029,I53000T53390,53210,Software-Integrated,1,395,TATA,1,TATA CONSULTANCY SERVICES LTD,532540,TCS,1,53.4,71.9,139.65,154.25,23.3,21.1,6000,1.8,0
4,,4,ICICI Bank,1007946,28079,2.9,1007946,2,49013,5.1,13396,1.3,34085,3.5,-19654,-1.9,116927,13.1,1410.75,1371.45,39.3,2.9,1371.4,1413.5,1367.55,1410.75,17991,25263,354790,INE090A01021,I71000T71310,71110,Bank-Private-Listed,1,7.0003,ICICI,1,ICICI BANK LTD,532174,ICICIBANK,1,17.8,24.3,78.15,79.11,18.1,17.8,550,0.8,5.58
5,,5,SBI,940367,12369,1.3,418463,7,41953,4.7,43707,4.9,160313,20.6,215824,29.8,247149,35.7,1018.75,1005.35,13.4,1.3,1008.9,1023.95,1005,1018.75,10272,10459,241491,INE062A01020,I71000T71310,71210,Bank-PSU-Listed,1,1.1,FINANCE MINISTRY,1,STATE BANK OF INDIA,500112,SBIN,1,15.6,22,82.52,82.52,12.4,12.4,1590,1.6,10.63
6,,6,HDFC Bank,739301,-11753,-1.6,739301,3,-21740,-2.9,-31265,-4.1,-7361,-1,-782913,-51.4,-565794,-43.4,962.4,977.7,-15.3,-1.6,968.45,968.45,955.9,962.4,34295,33009,494642,INE040A01034,I71000T71310,71110,Bank-Private-Listed,2,141,HDFC,1,HDFC BANK LTD,500180,HDFCBANK,1,13.9,18.6,94.2,94.2,10.2,10.2,2200,4.6,6.21
7,,7,Infosys ,668305,1970,0.3,572737,5,-5496,-0.8,-2961,-0.4,55528,9.1,-12706,-1.9,-136290,-16.9,1611.15,1606.4,4.75,0.3,1601.5,1619.85,1599,1611.15,4687,7557,141470,INE009A01021,I53000T53390,53210,Software-Integrated,2,7.00011,INFOSYS,1,INFOSYS LTD,500209,INFY,1,29.3,41.4,67.77,76.81,23.8,21,0,0,0
8,,8,Bajaj Finance,607744,-497.21,-0.1,275551,12,-7551,-1.2,-43879,-6.7,-18632,-3,33302,5.8,153218,33.7,977.85,978.65,-0.8,-0.1,981.55,987,973.5,977.85,8817,8630,159987,INE296A01032,I72000T72190,72110,NBFC-Asset Fin-DT,1,48.1,BAJAJ-RAHUL,1,BAJAJ FINANCE LTD,500034,BAJFINANCE,1,18,22.1,28.01,29.45,34.9,33.2,4400,4.5,1.97
9,,9,Hind Uni,569957,9259,1.7,217154,15,31290,5.8,20292,3.7,-28177,-4.7,20104,3.7,11327,2,2425.35,2385.95,39.4,1.7,2386.5,2427.75,2368.65,2425.35,1632,3929,68396,INE030A01027,I22100T22190,22110,Soaps/Detergents,1,4184.006,UNILEVER-UK,1,HINDUSTAN UNILEVER LTD,500696,HINDUNILVR,1,21.2,29.4,44.54,49.76,54.5,48.7,4300,1.8,0
10,,10,L&T,568563,-2132,-0.4,568563,6,10296,1.8,13116,2.4,54705,10.6,74357,15,73144,14.8,4133.35,4148.85,-15.5,-0.4,4149.65,4184.9,4132,4141.3,1235,5126,88065,INE018A01030,I24300T24390,24390,Cap Goods-Divers,1,588,L & T,1,LARSEN & TOUBRO LTD,500510,LT,1,16.6,17.4,117.59,148.51,35.2,27.8,1700,0.8,0.92
