,,,,tab,,,,
India  Stocks,Yr-ago,Curnt,Ch%,1,0,11,,1
Sensex,77965,85063,9.1,1,11,111,F091,2
Nifty,23616,26250,11.2,1,11,112,F091,3
All Stks (Mcap Bln Rs),437584,468255,7,1,11,113,F091,4
RIL,16485,20402,23.8,1,11,114,F091,5
Bharti Airtel,9342,12222,30.8,1,11,115,F091,6
TCS,14823,11786,-20.5,1,11,116,F091,7
ICICI Bank,8910,10079,13.1,1,11,117,F091,8
Bullion,,,,1,0,12,,9
Gold (10gm/Rs),76635,136484,78.1,1,12,121,C001,10
Silver (kg/Rs),87659,244054,178.4,1,12,122,C002,11
Forex vs INR,,,,1,0,13,,12
USD (USA),85.82,90.17,5.1,1,13,311,F001,13
GBP (UK),107.08,122.03,14,1,13,312,F044,14
EURO (Europe),88.76,105.62,19,1,13,313,F003,15
YEN (Japan),0.54,0.58,7.4,1,13,314,F081,16
CNY (China),11.71,12.91,10.2,1,13,315,F086,17
Crude,0,0,0,1,0,14,,18
Brent (bbl/$),76.04,61.79,-18.7,1,14,141,C019,20
Indices,,,,,,,,20
BRICS,Yr-ago,Curnt,Ch%,2,0,21,,21
Bovespa (Brazil),120022,161870,34.9,2,21,211,F055,22
RTS (Russia),873,1109,27.1,2,21,212,F007,23
Sensex (India),77965,85063,9.1,2,21,213,F091,24
Shanghai (China),3207,4084,27.3,2,21,214,F086,25
Jalsh (S.Africa),84746,117758,39,2,21,215,F027,26
Asia/Pacific,,,,2,0,22,,27
Nikkei (Japan),39307,52514,33.6,2,22,221,F081,28
Hang Seng (HK),19688,26710,35.7,2,22,222,F852,29
Straits (S.pore),3822,4740,24,2,22,223,F065,30
Asx-200 (AUS),8257,8683,5.2,2,22,224,F061,31
Kospi (Korea),2503,5053,101.9,2,22,225,F082,32
Nifty (India),23616,26250,11.2,2,22,226,F091,33
America/Europe,,,,2,0,23,,34
Dow Jones (USA),42707,48977,14.7,2,23,231,F001,35
FTSE (UK),8249,10058,21.9,2,23,232,F044,36
Nasdaq (USA),19865,23396,17.8,2,23,233,F001,37
Dax (Germany),20216,24899,23.2,2,23,234,F049,38
Mexbol (Mexico),49494,65014,31.4,2,23,235,F052,39
Baltic Freight,1072,1851,72.7,2,24,241,F044,40
Currencies,,,,,,,,41
INR vs.,Yr-ago,Curnt,Ch%,3,0,31,,42
USD (USA),85.82,90.17,-5.1,3,31,311,F001,43
GBP (UK),107.08,122.03,-14,3,31,312,F044,44
EURO (Europe),88.76,105.62,-19,3,31,313,F003,45
YEN (Japan),0.54,0.58,-7.4,3,31,314,F081,46
CNY (China),11.71,12.91,-10.2,3,31,315,F086,47
BRL (Brazil),13.75,16.66,-21.2,3,31,316,F055,48
RUB (Russia),0.8,1.12,-40,3,31,317,F007,49
ZAR (S.Africa),4.6,5.51,-19.8,3,31,318,F027,50
SGD (S.pore),62.77,70.48,-12.3,3,31,319,F065,51
USD vs.,,,,3,0,32,,52
GBP (UK),0.8,0.74,-7.5,3,32,321,F044,53
EURO (Europe),0.97,0.85,-12.4,3,32,322,F003,54
YEN (Japan),157.86,156.38,-0.9,3,32,323,F081,55
CNY (China),7.33,6.98,-4.8,3,32,324,F086,56
BRL (Brazil),6.24,5.41,-13.3,3,32,325,F055,57
RUB (Russia),106.63,80.85,-24.2,3,32,326,F007,58
INR (India),85.82,90.17,5.1,3,32,327,F091,59
ZAR (S.Africa),18.66,16.36,-12.3,3,32,328,F027,60
SGD (S.pore),1.37,1.28,-6.6,3,32,329,F065,61
World P/E Ratio,,,,,,,,
World P/E Ratio,Yr-ago,Curnt,Ch%,4,,,,62
United States,26.06,26.99,-3.6,4,,,,63
 India,24.12,23.63,2.0,4,,,,64
Australia,20.58,21.5,-4.5,4,,,,65
 Canada,18.85,20.31,-7.7,4,,,,66
 United Kingdom,17.13,19.98,-16.6,4,,,,67
 France,19,18.9,0.5,4,,,,68
 Germany,17.69,18.32,-3.6,4,,,,70
 Japan,15.83,17.29,-9.2,4,,,,75
 Italy,10.58,13.47,-27.3,4,,,,76
 Brazil,8.33,12.06,-44.8,4,,,,77
 China,10.19,10.8,-6.0,4,,,,81
Commodities,,,,,,,,83
Metals (Kg),Yr-ago,Curnt,Ch%,5,0,41,,84
Aluminium,241,305,26.5,5,41,411,C003,85
Copper,789,1219,54.4,5,41,412,C004,86
Lead,183,188,2.7,5,41,413,C005,87
Nickel,1315,1539,17,5,41,414,C006,88
Zinc,276,313,13.2,5,41,415,C008,89
Agro-Cons (100 Kg),,,,5,0,42,,90
Agro-Indu (100 Kg),,,,5,0,43,,91
Cotton (Bale),25895,26130,0.9,5,43,431,C013,92
Menthaoil (Kg),1001,1076,7.4,5,43,432,C017,93
Energy (Rs),,,,5,0,44,,94
Gas (mmbtu),288,318,10.6,5,44,441,C018,95
