SBI,INE062A01020,1018.75,1023.95,679.65,344.3,50.7
SAIL,INE114A01011,146.35,152.75,99.2,53.55,54
Titan,INE280A01028,4104.05,4118,2947.55,1170.45,39.7
P H Cap,INE160F01013,454.2,463,148.6,314.4,211.6
Mirc Elect,INE831A01028,35.02,35.02,11.1,23.92,215.5
Vedanta,INE205A01025,621.6,628,362.2,265.8,73.4
Samtel India,INE538C01017,4.33,4.33,2.83,1.5,53
Torrent Pharma,INE685A01028,3936.6,3943.35,2891.45,1051.9,36.4
Hindalco Ind,INE038A01020,942.5,970.6,546.25,424.35,77.7
Bharat Forge,INE465A01025,1475.45,1506.3,919.1,587.2,63.9
TCI Finance,INE911B01018,32.92,32.92,10.3,22.62,219.6
Shree Salasar,INE315N01017,76.17,76.17,14.58,61.59,422.4
Deccan Bearing,INE498D01012,284.05,284.05,81.23,202.82,249.7
Bliss GVS ,INE416D01022,181.3,192,105.05,86.95,82.8
Saptak Chem,INE467X01015,33.59,33.59,2.68,30.91,1153.4
GM Breweries,INE075D01018,1194,1328,579.1,748.9,129.3
Graphite India,INE371A01025,671.95,684.2,366,318.2,86.9
Trade Wings,INE961E01017,513.8,513.8,47.04,466.76,992.3
Bhagyanagar Ind,INE458B01036,178.35,178.35,63.01,115.34,183.1
Onix Solar,INE173M01012,628.95,628.95,160.05,468.9,293
Gujarat Natural,INE207H01018,106.69,108.02,16.42,91.6,557.9
Hind Copper,INE531E01026,565.2,574.4,183.9,390.5,212.3
Ramgopal Polyte,INE410D01017,19.67,20.47,4.71,15.76,334.6
Magnus Steel,INE898E01011,38.55,38.55,7.5,31.05,414
Jamna Auto Ind,INE039C01032,135.65,136.75,68.52,68.23,99.6
Arcee Ind,INE276D01012,9.1,9.1,4.43,4.67,105.4
Phaarmasia,INE486I01016,121.85,121.85,23.6,98.25,416.3
KMC Specl,INE879K01018,90.31,92.9,57,35.9,63
Jauss Poly,INE593O01017,9.32,10.27,5.8,4.47,77.1
Stellant Sec,INE395F01023,447.45,447.45,15.53,431.92,2781.2
SC Agrotech,INE895E01017,43.5,43.8,13.15,30.65,233.1
Crimson Metal,INE318P01016,45.35,45.35,10.84,34.51,318.4
Kiran Syntex,INE293D01017,17,17,6.6,10.4,157.6
Checkpoint Tre,INE396H01019,138.75,138.75,9.41,129.34,1374.5
Kinetic Trust,INE674M01019,52.85,52.85,19.98,32.87,164.5
