Rollatainers,INE927A01040,1.5,37.52,6,20,3320951,2791.1,1.5,1.2,1.24,21,1.52,-1.3,2.57,1.03
United Van Der,INE890G01021,263.2,325.55,54,20,215024,373.9,263.2,244.05,182.1,44.5,152.13,73,308.05,106.5
Hazoor Multi ,INE550F01049,35.97,833.19,139,20,308769,-17.9,37.12,35.78,35.67,.8,41.48,-13.3,57.8,26.8
Shankara Build,INE274V01019,127.8,309.92,52,20,3000161,7653.8,127.8,105.2,123.41,3.6,611.04,-79.1,1210,100.3
Exim Routes,INE19I001020,213.15,399.7,67,20,318400,-24.6,213.15,181,147.38,44.6,147.38,44.6,213.15,104.5
Goyal Alum,INE705X01026,10.39,148.3,25,20,5679635,48.5,10.39,9.01,7.04,47.6,7.89,31.7,10.8,6.2
Kizi Apparels,INE0RMR01013,14.39,11.25,2,19.9,36000,140,14.4,12.5,15.22,-5.5,18.64,-22.8,26,10.4
Shigan Quantum,INE03KJ01013,55,99.71,16,19.6,54000,3500,55.2,48.45,57.85,-4.9,77.61,-29.1,129,41.2
ISF,INE973B01026,.98,9.31,1,18,42188,-10.9,.98,.9,.98,0,1.18,-16.9,2.07,.78
Trans Corp ,INE330E01023,27.06,86.47,13,18,97723,4853,27.61,22.67,23.31,16.1,24.85,8.9,34.4,20.57
Tahmar Enter,INE385D01029,11.76,217.31,33,17.8,38144,392.7,11.76,9.54,11.22,4.8,13.4,-12.2,24.15,9.21
Captain Tech,INE931X01010,199,406.36,60,17.4,750,-50,199,199,210.67,-5.5,242.84,-18.1,322,140
Jai Hind Synth,INE156E01014,47.44,40.39,5,15.7,12088,-84.5,49.26,40.04,48.15,-1.5,53.28,-11,67.6,37.5
Indo Euro,INE319N01019,13.85,12.51,2,15.7,65012,3910.6,14.36,11.45,12.32,12.4,12.74,8.7,18.74,8.75
Gajanand Intern,INE0QTE01018,11.8,22.23,3,15.7,69000,666.7,12,10,11.4,3.5,13.82,-14.6,19,9.5
Manaksia Alum,INE859Q01017,38.83,254.47,35,15.7,5985208,575.8,40.26,34.55,27.2,42.8,27.11,43.2,40.26,17.76
Nexus Surgical,INE370Q01015,17.74,9.71,1,15.2,4762,65.5,17.88,15.45,16.46,7.8,16.92,4.8,25.11,13.26
Leading Lea Fin,INE715Q01029,3.74,39.91,5,14.4,13820604,-55.1,3.8,3.28,4.62,-19,5.91,-36.7,9.47,3.12
Premier Energy,INE429K01012,11.56,47.8,6,13.3,97613,94.7,11.56,10.56,12.66,-8.7,10.34,11.8,25.88,3.38
Integra Hitech,INE934A01012,3.25,3.25,0,13.2,12778,255460,3.29,3.06,3.07,5.9,4.62,-29.7,9.15,2.5
Bliss GVS ,INE416D01022,181.3,1912.68,222,13.1,63227069,5982.4,192,160.05,158.75,14.2,147.13,23.2,192,105.05
PG Foils,INE078D01012,200.25,236.19,26,12.6,86834,1504.2,204.15,181.9,193,3.8,249.92,-19.9,359.8,165.5
Mindteck ,INE110B01017,241.3,757.68,84,12.4,4953821,5725.1,257.4,210.75,231.24,4.4,219.92,9.7,307,141
Rajoo Engg,INE535F01024,77.93,1392.41,150,12.1,33400598,326.5,81,69.45,76.2,2.3,114.09,-31.7,245,60.42
Inducto Steel,INE146H01018,54.8,22.01,2,11.8,85,-95.4,54.99,50.6,56.52,-3,62.23,-11.9,88.5,43.55
Panyam Cem,INE167E01029,149.85,120.2,12,11,1231,1401.2,149.9,127,128.4,16.7,136.65,9.7,195.45,97
Hardwyn India,INE626Z01029,19.22,938.77,92,10.9,36572478,10180.7,20.44,17.33,15.98,20.3,14.37,33.8,20.44,10.84
Accent Microcel,INE0Q5D01013,370.25,888.19,87,10.9,175000,821.1,375.8,326.1,311.39,18.9,262.42,41.1,375.8,180
Viji Fin,INE159N01027,3.12,44.46,4,10.6,2826082,232.3,3.12,2.75,2.84,9.9,2.83,10.2,4.64,2
Ind Ener Exch,INE022Q01020,148.1,13194.15,1229,10.3,84064528,1771.9,153.35,133.25,140.28,5.6,163.45,-9.4,215.4,130.35
Futuristic Sol,INE241F01011,48.45,50.74,5,10.1,1405,79.4,48.45,48.39,50.11,-3.3,55.82,-13.2,75,42.35
Mirc Elect,INE831A01028,35.02,982.73,89,10,11028975,28.9,35.02,32.96,26.31,33.1,20.28,72.7,35.02,11.1
KSR Footwear,INE1SPP01016,29.41,54.05,5,10,399580,-69.4,29.41,25.23,21.19,38.8,21.19,38.8,33,14.05
Scan Projects,INE393D01015,84.72,33.88,3,10,474,2157.1,84.72,72,84.24,.6,88.01,-3.7,170,48.56
Sovereign Diam,INE959D01013,35.97,20.82,2,10,21975,-30.3,35.97,35.97,25.41,41.6,34.85,3.2,64.57,19.13
NDL Ventures,INE353A01023,96.8,325.94,29,9.9,25307,152.8,96.97,93.8,88.64,9.2,81.25,19.1,115,49.69
Menon Pistons,INE650G01029,64.32,328.03,29,9.7,116341,346.7,66,57.85,59.36,8.4,60.85,5.7,76.39,43
Thacker Co,INE077P01034,1500,163.2,14,9.5,139,172.5,1509.8,1350,1539.09,-2.5,1542.59,-2.8,2084,1020
Cupid,INE509F01029,427.35,11472.94,1000,9.5,59611527,-11,444.05,394,339.82,25.8,169.12,152.7,527.4,50
Trio Merc,INE234G01022,.8,5.43,0,9.5,10737,-51.1,.8,.72,.74,8.1,.79,1.3,1.32,.53
Virgo Global,INE400B01020,5.3,5.57,0,9.4,2241,-40.2,5.32,5,5.29,.2,5.63,-5.9,7.94,4.43
Binny Mills,INE160L01011,290.55,92.64,8,9.4,732,258.8,290.55,265,251.1,15.7,253.53,14.6,379.25,196.15
