1,E to E Transpor,2025-12-26,174,295.9,84.22,143.22,70.1
2,Admach Systems,2025-12-23,239,224,42.6,39.93,-6.3
3,Nanta Tech,2025-12-23,220,269.5,31.81,38.97,22.5
4,Apollo Techno,2025-12-23,130,139.05,47.96,51.3,7
5,Dhara Rail Proj,2025-12-23,126,131.15,50.2,52.25,4.1
6,Bai-Kakaji Poly,2025-12-23,186,185,105.17,104.61,-.5
7,Shyam Dhani Ind,2025-12-22,70,114.45,38.49,62.92,63.5
8,Sundrex Oil,2025-12-22,86,50.65,32.25,19,-41.1
9,Dachepalli Publ,2025-12-22,102,80.64,40.39,31.93,-20.9
10,Gujarat Kidney,2025-12-22,114,100.65,250.8,221.43,-11.7
11,EPW India,2025-12-22,97,101.7,31.81,33.35,4.8
12,Global Ocean,2025-12-17,78,95.15,30.41,37.1,22
13,Marc Technocrat,2025-12-17,93,48.15,42.59,22.05,-48.2
14,KSH Internation,2025-12-16,384,377.8,644.45,634.04,-1.6
15,Neptune Logitek,2025-12-15,126,54.42,46.62,20.14,-56.8
16,ICICI Pru Asset,2025-12-12,2165,2694.5,10602.65,13195.77,24.5
17,Exim Routes,2025-12-12,88,213.15,43.73,105.93,142.2
18,Ashwini Contain,2025-12-12,142,142.65,71,71.33,.5
19,Stanbik Agro,2025-12-12,30,33.5,12.28,13.71,11.6
20,HRS Aluglaze,2025-12-11,96,158.1,50.92,83.86,64.7
21,Pajson Agro,2025-12-11,118,157.5,74.45,99.38,33.5
22,Unisem Agritech,2025-12-10,65,59.9,21.45,19.77,-7.8
23,Shipwaves Onlin,2025-12-10,12,5.01,56.35,23.53,-58.2
24,Nephrocare Heal,2025-12-10,460,492.1,871.39,932.2,7
25,Park Medi World,2025-12-10,162,148.15,920,841.35,-8.5
26,KV TOYS INDIA,2025-12-08,239,336,40.15,56.45,40.6
27,Riddhi Display,2025-12-08,100,40.07,24.68,9.89,-59.9
28,Prodocs Solutio,2025-12-08,138,205,27.6,41,48.6
29,Corona Remedies,2025-12-08,1062,1430.35,655.68,883.11,34.7
30,Wakefit Innovat,2025-12-08,195,168.55,1288.89,1114.06,-13.6
31,Methodhub Soft,2025-12-05,194,131.9,102.49,69.68,-32
32,Flywings Simula,2025-12-05,191,219,57.05,65.41,14.7
33,Encompass Desig,2025-12-05,107,246.25,40.21,92.55,130.2
34,Luxury Time,2025-12-04,82,92.85,18.74,21.21,13.2
35,Western Oversea,2025-12-04,56,19.85,10.07,3.57,-64.5
36,Aequs,2025-12-03,124,140.65,922.01,1045.81,13.4
37,Vidya Wires,2025-12-03,52,49.84,300.01,287.54,-4.2
38,Meesho,2025-12-03,111,182.3,5421.2,8903.47,64.2
39,ShriKanha Stain,2025-12-03,90,24.25,46.28,12.47,-73.1
40,Helloji Holiday,2025-12-02,118,128,10.96,11.89,8.5
41,Neochem Solutio,2025-12-02,98,82.55,44.97,37.88,-15.8
42,Astron Multigra,2025-12-01,63,19.96,18.4,5.83,-68.3
43,Clear Secured,2025-12-01,132,135.25,85.6,87.71,2.5
44,Invicta Diagnos,2025-12-01,85,79.55,28.12,26.32,-6.4
45,Ravelcare,2025-12-01,130,140.15,24.1,25.98,7.8
46,SPEB Adhesives,2025-12-01,56,56.1,33.73,33.79,.2
47,Purple Wave Inf,2025-11-28,126,125.3,31.45,31.27,-.6
48,Logiciel Soluti,2025-11-28,193,64.75,39.9,13.39,-66.4
49,Exato Technolo,2025-11-28,140,336.1,37.45,89.91,140.1
50,Mother Nutri,2025-11-26,117,179.35,39.59,60.69,53.3
51,K K Silk Mills,2025-11-26,38,18.7,28.5,14.03,-50.8
52,SSMD Agrotech,2025-11-25,121,59,34.09,16.62,-51.2
53,Sudeep Pharma,2025-11-21,593,593,895,895,0
54,Gallard Steel,2025-11-19,150,183.45,37.5,45.86,22.3
55,Excelsoft Tech,2025-11-19,120,86.1,500,358.75,-28.3
56,Capillary Tech,2025-11-14,577,664.6,877.7,1010.95,15.2
57,Fujiyama Power,2025-11-13,228,221,828,802.58,-3.1
58,Tenneco Clean,2025-11-12,397,517.95,3600,4696.78,30.5
59,Mahamaya Life,2025-11-11,114,190.5,70.44,117.71,67.1
60,Physicswallah,2025-11-11,109,130,3426.71,4086.9,19.3
61,Workmates Core2,2025-11-11,204,374.5,69.84,128.21,83.6
62,Emmvee Photovol,2025-11-11,217,200.1,2900,2674.15,-7.8
63,Pine Labs,2025-11-07,221,240.85,3900.17,4250.48,9
64,Shining Tools,2025-11-07,114,65,17.1,9.75,-43
65,Finbud Financia,2025-11-06,142,128.55,71.68,64.89,-9.5
66,Shreeji Global,2025-11-04,125,117,85,79.56,-6.4
67,Groww BBGV,2025-11-04,100,155.45,6632.3,10309.91,55.4
68,Lenskart Solu,2025-10-31,402,444.6,7278.02,8049.27,10.6
69,Studds Accessor,2025-10-30,585,540.95,455.49,421.19,-7.5
70,Orkla India,2025-10-29,730,615.95,1667.54,1407.01,-15.6
71,Safecure Servic,2025-10-29,102,36.3,30.6,10.89,-64.4
72,Game Changers,2025-10-28,102,144.1,54.84,77.47,41.3
73,Jayesh Logistic,2025-10-27,122,159.9,28.63,37.53,31.1
74,Midwest,2025-10-15,1065,1768.8,451.1,749.21,66.1
75,CanaraHSBC Life,2025-10-10,106,151.5,2517.5,3598.13,42.9
76,SK Minerals Add,2025-10-10,127,141,41.15,45.68,11
77,Sihora Indust,2025-10-10,66,62.1,10.56,9.94,-5.9
78,Canara Robeco,2025-10-09,266,311.15,1326.13,1551.22,17
79,Rubicon Researc,2025-10-09,485,666.25,1377.68,1892.54,37.4
80,LG Electronics,2025-10-07,1140,1493.6,11607.01,15207.22,31
81,Mittal Sections,2025-10-07,143,41,52.91,15.17,-71.3
82,Tata Capital,2025-10-06,326,361.6,15511.87,17205.81,10.9
83,NSB BPO Solutio,2025-10-03,147,93.45,77.91,49.53,-36.4
84,WeWork India,2025-10-03,648,610.4,3000,2825.93,-5.8
85,Advance Agro,2025-09-30,100,133,192.86,256.5,33
86,Sunsky Logistic,2025-09-30,46,69,16.84,25.25,49.9
87,Zelio E-Mobilit,2025-09-30,136,396.35,78.34,228.3,191.4
88,Greenleaf Envir,2025-09-30,136,170,21.9,27.37,25
