RIL,INE002A01018,2040220,1507.7,43018,28403,194,17990,17990,17990,17990,54426,3479
HDFC Bank,INE040A01034,739301,962.4,33009,4544,16,18589,18589,18589,18589,51060,3839
ITC,INE154A01025,428991,342.45,26188,8086,45,40630,40630,40630,40630,187101,513
Trent,INE849A01020,143896,4047.7,26070,23723,1011,7429,7429,7429,7429,61735,419
Cupid,INE509F01029,11473,427.35,25481,816,3,13630,13630,13630,13630,25481,15
ICICI Bank,INE090A01021,1007946,1410.75,25263,15324,154,12351,12351,12351,12351,81602,3866
Hind Copper,INE531E01026,54656,565.2,24529,-8151,-25,29216,29216,29216,29216,107224,228
Bharti Airtel,INE397D01024,1222160,2107.1,19223,13537,238,8506,8506,8506,8506,200661,544
National Alum,INE139A01034,63676,346.7,15576,11084,247,6739,6739,6739,6739,19368,405
Ola Electric,INE0LXG01040,19205,43.54,13996,-1178,-8,9393,9393,9393,9393,75665,316
Kaynes Techno,INE918Z01012,25409,3790.4,12250,5035,70,6660,6660,6660,6660,81578,593
Ind Ener Exch,INE022Q01020,13194,148.1,12192,11589,1922,2895,2895,2895,2895,46828,282
Kotak Bank,INE237A01028,426883,2146.65,11703,6809,139,7773,7773,7773,7773,39297,565
Netweb Techno,INE0NT901020,18961,3346.8,11478,-14837,-56,7952,7952,7952,7952,60319,144
Bliss GVS ,INE416D01022,1913,181.3,11271,11104,6651,2403,2403,2403,2403,11271,18
Eternal,INE758T01015,253663,278.75,10973,5247,92,6302,6302,6302,6302,140528,1431
Swiggy,INE00H001014,83822,361.3,10684,7516,237,4255,4255,4255,4255,55132,774
SBI,INE062A01020,940367,1018.75,10459,-1465,-12,8261,8261,8261,8261,28916,1917
Hindalco Ind,INE038A01020,209235,942.5,10212,5126,101,5206,5206,5206,5206,27735,388
TCS,INE467B01029,1178582,3255.75,9523,1573,20,7499,7499,7499,7499,34415,1026
Axis Bank,INE238A01034,400290,1290.05,9041,931,11,6496,6496,6496,6496,43418,2109
Vodafone Idea,INE669E01016,125570,11.59,8783,-4104,-32,23908,23908,23908,23908,41928,1809
Bajaj Finance,INE296A01032,607744,977.85,8630,-2590,-23,8716,8716,8716,8716,46373,1082
BSE,INE118H01025,110228,2706.3,8411,-1060,-11,6899,6899,6899,6899,100436,2364
Waaree Energies,INE377N01017,75770,2634.2,8064,132,2,5112,5112,5112,5112,66895,822
Indusind Bank,INE095A01012,71266,914.75,7819,5393,222,4544,4544,4544,4544,76560,283
Bharat Dyna,INE171Z01026,56529,1542.15,7615,2303,43,3582,3582,3582,3582,36950,279
Infosys ,INE009A01021,668305,1611.15,7557,-2446,-24,7958,7958,7958,7958,40270,2745
Vedanta,INE205A01025,243046,621.6,7078,1604,29,5406,5406,5406,5406,20175,454
Hind Zinc,INE267A01025,271646,642.95,6982,2721,64,4912,4912,4912,4912,69232,269
Dixon Techno,INE935N01020,71009,11736.95,6771,1030,18,8785,8785,8785,8785,34999,1161
TaMo Passenger,INE155A01022,135940,368.9,6695,2914,77,4069,4069,4069,4069,43275,1482
Gandhar Oil,INE717W01049,339,173.1,6373,-2370,-27,3058,3058,3058,3058,8743,6
MCX,INE745G01043,57334,2248.4,5721,1922,51,5318,5318,5318,5318,25145,710
Tata Steel,INE081A01020,232489,186.2,5504,-433,-7,5957,5957,5957,5957,16532,483
L&T,INE018A01030,568563,4133.35,5126,156,3,5181,5181,5181,5181,32853,1156
Bajaj Auto,INE917I01010,269881,9664.15,5092,2089,70,4345,4345,4345,4345,12727,290
M&M,INE101A01026,422690,3784.7,5022,-1080,-18,6114,6114,6114,6114,28015,1115
Divi's Lab,INE361B01024,176071,6644.2,4927,3984,422,1864,1864,1864,1864,19013,224
Union Bank,INE692A01016,126451,165.65,4823,-540,-10,2983,2983,2983,2983,10264,345
Trans Rect,INE763I01026,9468,315.4,4791,1792,60,5969,5969,5969,5969,17815,75
South Ind Bank,INE683A01023,11020,42.12,4547,3346,279,1618,1618,1618,1618,10808,96
Cummins,INE298A01020,114452,4128.85,4464,2125,91,2156,2156,2156,2156,14612,82
Shriram Finance,INE721A01047,188476,1002,4440,-266,-6,5860,5860,5860,5860,32338,517
SAIL,INE114A01011,60450,146.35,4428,486,12,4904,4904,4904,4904,21527,264
Premier Energie,INE0BS701011,34538,762.45,4424,-256,-5,2442,2442,2442,2442,11010,133
Bharat Elect,INE263A01024,301895,413,4410,-6979,-61,5464,5464,5464,5464,50433,1388
Indigo Air,INE646L01027,193644,5008.9,4408,975,28,3832,3832,3832,3832,153865,227
Apollo Hospital,INE437A01024,105808,7358,4369,1855,74,2334,2334,2334,2334,18379,277
GM Breweries,INE075D01018,2729,1194,4310,3685,589,1138,1138,1138,1138,12783,7
Lupin,INE326A01037,98301,2151.95,4279,2898,210,1703,1703,1703,1703,8243,98
REC,INE020B01018,100800,382.8,4119,-1076,-21,5319,5319,5319,5319,15541,474
Varun Beverages,INE200M01039,168929,499.5,4112,1612,64,2459,2459,2459,2459,22951,249
Tata Motors,INE1TAE01010,159315,432.65,4002,-3131,-44,5244,5244,5244,5244,52780,2018
Tourism Fin,INE305A01023,3152,68.09,3942,-3603,-48,3129,3129,3129,3129,7545,26
Hind Uni,INE030A01027,569957,2425.35,3929,647,20,2988,2988,2988,2988,19322,264
Groww BBGV,INE0HOQ01053,95969,155.45,3853,1143,42,3049,3049,3049,3049,101482,1808
Gujarat Mineral,INE131A01031,19476,612.45,3800,847,29,3940,3940,3940,3940,35420,112
RBL Bank,INE976G01028,19623,320.1,3778,886,31,2413,2413,2413,2413,33763,538
Fortis Health,INE061F01013,71378,945.45,3730,2333,167,1699,1699,1699,1699,54862,101
Orient Technolo,INE0PPK01015,1983,433,3664,-8691,-70,14031,14031,14031,14031,25706,12
HCL Tech,INE860A01027,439287,1618,3585,-1848,-34,2888,2888,2888,2888,29511,451
NTPC,INE733E01010,340208,350.85,3516,-3022,-46,5005,5005,5005,5005,64327,148
