Vodafone Idea,INE669E01016,125570,11.59,761012,-341471,-31,2064955,1203728,1120519,777570,3643572,207994
Ola Electric,INE0LXG01040,19205,43.54,321632,-32642,-9,226222,132608,59254,90856,1192515,7357
Yes Bank,INE528G01027,71560,22.81,137756,-34041,-20,109818,84251,110344,119936,1965855,30151
South Ind Bank,INE683A01023,11020,42.12,108807,78366,257,39982,24284,43854,21349,288652,3345
PC Jewel,INE785M01021,6733,10.24,99688,-56738,-36,83112,59019,63066,53202,643622,5972
Filatex Fashion,INE185E01021,258,.31,84895,14772,21,203975,126374,88692,48866,376870,4826
Alstone Textile,INE184S01024,27,.21,84747,-166549,-66,171158,67921,54129,19662,251296,1689
Ind Ener Exch,INE022Q01020,13194,148.1,84065,79574,1772,20216,8666,8439,10323,323950,2006
ITC,INE154A01025,428991,342.45,76438,24807,48,111962,35861,21165,18045,450631,1241
Sunshine Cap,INE974F01025,25,.24,69895,45292,184,30051,27492,31366,36774,508819,1063
Bliss GVS ,INE416D01022,1913,181.3,63227,62188,5982,13555,6466,4035,1595,63227,118
Cupid,INE509F01029,11473,427.35,59612,-7367,-11,32765,11527,6536,4018,66979,206
Tourism Fin,INE305A01023,3152,68.09,58074,-66045,-53,50135,16642,10129,4060,124119,191
Mangal Ind Fin,INE717C01025,190,1.32,47261,-19444,-29,44897,38689,15164,4924,66969,198
National Alum,INE139A01034,63676,346.7,44952,31379,231,20198,14240,13177,11510,76180,1780
Hind Copper,INE531E01026,54656,565.2,43196,-15086,-26,53929,49785,24799,11769,212342,947
Eternal,INE758T01015,253663,278.75,39290,18939,93,22455,26215,29748,50892,475005,4223
Hardwyn India,INE626Z01029,939,19.22,36572,36217,10181,8416,2867,2818,987,36572,42
Gandhar Oil,INE717W01049,339,173.1,36448,-14843,-29,17773,4541,1707,598,51290,41
Suzlon,INE040H01021,73327,53.45,34870,-11337,-25,44643,51662,68122,75445,634341,11244
HDFC Bank,INE040A01034,739301,962.4,34295,5378,19,18971,17288,19440,14099,45300,3040
Rajoo Engg,INE535F01024,1392,77.93,33401,25569,326,8656,2857,1497,948,33401,80
Dharan Infra,INE278R01034,63,.24,32196,-31717,-50,64017,50581,35524,34189,416963,722
SAIL,INE114A01011,60450,146.35,29793,3394,13,33203,20414,22145,18124,153332,2025
HFCL,INE548A01028,10001,69.35,29671,9469,47,60809,41186,23361,17202,189705,4040
GTL Infra,INE221H01019,1550,1.21,29612,-7032,-19,39222,47831,38865,75871,1373768,8605
Tata Steel,INE081A01020,232489,186.2,29514,-2514,-8,32570,27558,25981,30394,129575,2796
Swiggy,INE00H001014,83822,361.3,29506,21184,255,11392,14678,10281,14706,128255,2290
Union Bank,INE692A01016,126451,165.65,29033,-4235,-13,18576,12059,13439,13101,68834,2686
RIL,INE002A01018,2040220,1507.7,28373,19179,209,11608,9343,10895,11921,38954,2370
Hind Const,INE549A01026,5022,19.17,25106,-16390,-39,36562,46821,30633,21957,265919,1957
Groww BBGV,INE0HOQ01053,95969,155.45,24622,7105,41,19571,55249,121823,121823,610938,11661
Ujjivan Small,INE551W01018,11284,58.25,24136,-20508,-46,18979,10082,12482,13391,88513,2773
Jaiprakash Pow,INE351F01018,11973,17.47,23420,-15985,-41,41199,36628,72159,74506,1158615,4968
Reliance Power,INE614G01033,14546,35.17,23119,-9009,-28,36797,66747,55280,54758,607479,4849
BOM,INE457A01014,49557,64.43,22226,-5306,-19,30955,17168,24095,15690,113192,3341
SJVN,INE002L01015,33136,84.32,21637,-89075,-80,45320,13546,6525,7117,110712,601
NMDC,INE584A01023,73702,83.83,20958,-8577,-29,26611,24952,21298,22921,85577,3628
IDFC First,INE092T01019,62171,84.71,20602,4031,24,19629,27046,30579,31513,177728,8117
IDBI Bank,INE008A01015,116341,108.2,19988,-24452,-55,46402,17170,16298,11272,140875,1970
Motherson Int,INE775A01035,127022,120.35,19750,1768,10,15723,13959,18117,17854,90630,1878
Remedium Life,INE549S01036,74,.84,19193,925,5,27221,10499,10704,7159,77554,104
Sagility,INE0W2G01015,24201,51.72,18934,-11428,-38,21537,25641,66096,33801,1156600,2467
TaMo Passenger,INE155A01022,135940,368.9,18282,8124,80,11055,13534,14494,14220,75156,3686
ICICI Bank,INE090A01021,1007946,1410.75,17991,10731,148,8998,9154,11421,10943,60826,2864
Canara Bank,INE476A01022,139552,153.85,17877,-3559,-17,25302,24846,30312,28266,97058,7283
Mother Sumi Wir,INE0FS801015,33934,51.17,17366,-12401,-42,14016,11916,7393,7026,53019,951
Adani Power,INE814H01029,284642,147.6,16340,-639,-4,25960,14979,32445,18029,215441,1115
Welcure Drugs,INE331C01025,52,.42,16323,1051,7,11358,14739,15533,5056,79507,2
Davangere Sugar,INE179G01029,388,4.12,16119,-13760,-46,20781,27223,14720,8768,219289,834
IRFC,INE053F01010,166231,127.2,15620,-968,-6,20994,27194,13978,17572,172836,2282
Vishal Mega Mar,INE01EA01019,61425,131.5,15371,9241,151,6924,7943,8808,24700,1200777,752
Trans Rect,INE763I01026,9468,315.4,15065,5898,64,18535,13555,6993,2512,66994,84
Rattanind  Pow,INE399K01017,5102,9.5,13995,715,5,15435,12938,15438,44850,652698,3755
Leading Lea Fin,INE715Q01029,40,3.74,13821,-16986,-55,9634,2627,1697,1817,30806,3
Standard Cap,INE625D01028,142,.58,13663,6167,82,7257,6261,8068,12155,80646,1334
Utkarsh Small,INE735W01017,2877,15.36,13583,8357,160,8043,7687,15965,6070,166101,537
Emmvee Photovol,INE1C6T01020,13854,200.1,13345,11823,777,3935,3013,6919,6919,40394,359
Bajaj Housing,INE377Y01014,80771,96.98,13286,1880,16,9219,7840,14436,10608,486795,2365
SBC Export,INE04AK01028,1381,29.01,12926,1980,18,12488,13286,13275,9533,27836,1829
BOI,INE084A01016,68597,150.65,12587,2526,25,10023,7418,10070,10057,64542,2218
