ITC,INE154A01025,428991,342.45,703024,192780,38,818684,289579,193434,171373,1695991,43578
RIL,INE002A01018,2040220,1507.7,620255,373598,151,273300,229423,244563,258657,930854,86566
Cupid,INE509F01029,11473,427.35,566826,-91198,-14,320422,118628,69676,31113,658024,2651
HDFC Bank,INE040A01034,739301,962.4,494642,95408,24,291355,269253,292459,264042,559585,99679
Ola Electric,INE0LXG01040,19205,43.54,429030,-241321,-36,348942,201343,111623,157123,1672266,30642
Hind Copper,INE531E01026,54656,565.2,401037,-188307,-32,493948,419720,207393,93538,1935259,14682
ICICI Bank,INE090A01021,1007946,1410.75,354790,94258,36,203662,209258,240248,215399,694099,94599
Trent,INE849A01020,143896,4047.7,345886,288836,506,111643,80100,70622,105957,619757,10398
Bliss GVS ,INE416D01022,1913,181.3,321902,310320,2679,74763,43688,29390,16010,321902,1640
National Alum,INE139A01034,63676,346.7,289900,163610,130,147800,97845,90741,75974,353993,18625
Ind Ener Exch,INE022Q01020,13194,148.1,281629,228052,426,97785,52876,52803,64224,1021084,19816
Bharti Airtel,INE397D01024,1222160,2107.1,276622,140717,104,161345,185832,195510,184396,648750,24678
Eternal,INE758T01015,253663,278.75,255939,116737,84,170476,180040,197700,251665,1574461,49889
SBI,INE062A01020,940367,1018.75,241491,38130,19,164918,165381,200219,203026,650756,61415
Tata Steel,INE081A01020,232489,186.2,236305,36216,18,238648,200204,173095,190455,685406,40473
Kaynes Techno,INE918Z01012,25409,3790.4,228856,117713,106,110019,261580,142121,97736,988303,11267
Netweb Techno,INE0NT901020,18961,3346.8,227629,-216872,-49,147323,68233,119671,93052,877844,11538
Swiggy,INE00H001014,83822,361.3,213756,130944,158,93894,119388,95226,137323,638634,29002
Kotak Bank,INE237A01028,426883,2146.65,213588,110089,106,130904,111681,114644,139624,535788,15582
Axis Bank,INE238A01034,400290,1290.05,211194,42274,25,162354,129893,137317,162867,721722,29621
Gandhar Oil,INE717W01049,339,173.1,202476,-82498,-29,100943,28714,12379,7280,284974,1213
Vodafone Idea,INE669E01016,125570,11.59,197939,-100543,-34,426988,299687,320051,260318,913211,107876
HEG,INE545A01024,12305,637.55,193188,103000,114,187756,75099,52010,43574,626568,3354
Yes Bank,INE528G01027,71560,22.81,184739,-879,0,150626,129677,151038,133204,495493,72511
TaMo Passenger,INE155A01022,135940,368.9,182720,48993,37,126620,157376,193809,240955,1168561,80128
Waaree Energies,INE377N01017,75770,2634.2,174985,-1054,-1,109006,63777,71311,113746,868888,16368
Vishal Mega Mar,INE01EA01019,61425,131.5,168528,95410,130,69401,74029,73026,92687,640995,8675
Hindalco Ind,INE038A01020,209235,942.5,166487,89708,117,93657,94806,98116,96299,458568,11103
TCS,INE467B01029,1178582,3255.75,165761,43218,35,117401,123365,145920,161178,598020,33810
Trans Rect,INE763I01026,9468,315.4,161594,65056,67,175930,124496,77580,39173,497897,3879
Indian Metals ,INE919H01018,6971,1291.85,160817,146088,992,44474,26197,25213,14025,160817,2594
Bajaj Finance,INE296A01032,607744,977.85,159987,-607,0,194430,156255,159545,149059,551717,43022
